quiz_type,days_in,cleaned_label,timestamp_start,duration,reserved,subscore,final_score,ways_accept_resp,ways_confrontive,ways_distancing,ways_escape,ways_problem_solving,ways_positive_reappraisal,ways_seeking_social_support,ways_self_controlling,user_id,quiz_id,interruption_duration,max_value_possible,min_value_possible,number_of_pages
"The Ways of Coping",0,pre_study,1602963425045,13.4523,NULL,"Accepting responsibility: 9
Confrontive Coping: 3
Distancing: 4
Escape-Avoidance: 11
Positive reappraisal: 8
Planful problem-solving: 5
Seeking social support: 7
Self-controlling: 13
",86,9,3,4,11,5,8,7,13,1ba7da21d0d6bef7fb14da2473c56547ae44fc718c4a0c87b5ebb5d7fca0f570,if8z79jqox,223258,198,0,10
"The Ways of Coping",1,pre_study,1603091667071,15.316366666666667,NULL,"Accepting responsibility: 1
Confrontive Coping: 5
Distancing: 5
Escape-Avoidance: 7
Positive reappraisal: 4
Planful problem-solving: 8
Seeking social support: 7
Self-controlling: 9
",75,1,5,5,7,8,4,7,9,7b717d9c7e7b1e06653dfa5bb57219b5f10ebeec4fedfcc802daef57bd0718b7,ixiybd70li,170296,198,0,10
"The Ways of Coping",0,pre_study,1603094784071,18.3613,NULL,"Accepting responsibility: 7
Confrontive Coping: 5
Distancing: 7
Escape-Avoidance: 15
Positive reappraisal: 5
Planful problem-solving: 10
Seeking social support: 11
Self-controlling: 12
",100,7,5,7,15,10,5,11,12,c25b19030710ebefcc5595276a09c055652620e37700f4ecebb48926a2de5be6,u155nya56n,711896,198,0,10
"The Ways of Coping",1,pre_study,1603102963381,5.882633333333334,NULL,"Accepting responsibility: 7
Confrontive Coping: 8
Distancing: 7
Escape-Avoidance: 5
Positive reappraisal: 10
Planful problem-solving: 14
Seeking social support: 7
Self-controlling: 10
",96,7,8,7,5,14,10,7,10,d93cdfbf0b377149c43d9fd8cd694b22ec77b62b0155e3cc7f31542548a33e1a,ideqc827k2,0,198,0,10
"The Ways of Coping",0,pre_study,1603113375907,10.4124,NULL,"Accepting responsibility: 3
Confrontive Coping: 8
Distancing: 8
Escape-Avoidance: 12
Positive reappraisal: 9
Planful problem-solving: 4
Seeking social support: 5
Self-controlling: 7
",75,3,8,8,12,4,9,5,7,4dea0155508cf8ca1a01f87f9f6f1b1a2b1f594b787a7f06cbdb4b17d65f0fa0,5p2rukbt3w,69205,198,0,10
"The Ways of Coping",0,pre_study,1603135679692,21.34785,NULL,"Accepting responsibility: 8
Confrontive Coping: 6
Distancing: 12
Escape-Avoidance: 10
Positive reappraisal: 9
Planful problem-solving: 13
Seeking social support: 7
Self-controlling: 12
",108,8,6,12,10,13,9,7,12,dd7f547a1801f67f16d72055516c7a7f0703aeaac6a278f280a800ed883cc54e,633rkq2bba,62115,198,0,10
"The Ways of Coping",0,pre_study,1603138187654,7.340766666666667,NULL,"Accepting responsibility: 4
Confrontive Coping: 6
Distancing: 6
Escape-Avoidance: 8
Positive reappraisal: 7
Planful problem-solving: 6
Seeking social support: 6
Self-controlling: 6
",66,4,6,6,8,6,7,6,6,8a68450c07c5cd80eaee6e1ce3e61fd20c9390a4f1ec9447c05d0a56ca53a188,tmdk8jcc6b,2259,198,0,10
"The Ways of Coping",0,pre_study,1603143020874,11.78715,NULL,"Accepting responsibility: 5
Confrontive Coping: 1
Distancing: 3
Escape-Avoidance: 8
Positive reappraisal: 3
Planful problem-solving: 5
Seeking social support: 5
Self-controlling: 9
",58,5,1,3,8,5,3,5,9,33bed4871eb22d3f36b27ec5d19480bb37d2eebdc3ef0e6f9aecbd3d3b8c0718,bvlnarm2i9,0,198,0,10
"The Ways of Coping",0,pre_study,1603168282850,15.9303,NULL,"Accepting responsibility: 6
Confrontive Coping: 10
Distancing: 8
Escape-Avoidance: 13
Positive reappraisal: 12
Planful problem-solving: 13
Seeking social support: 12
Self-controlling: 7
",110,6,10,8,13,13,12,12,7,eed961cfbfe35b3fe5c5bdebc9cb98a02b02741df67632a1c03bb0a37c6f8899,j49256ffoq,778920,198,0,10
"The Ways of Coping",0,pre_study,1603186202491,8.5633,NULL,"Accepting responsibility: 2
Confrontive Coping: 3
Distancing: 3
Escape-Avoidance: 4
Positive reappraisal: 4
Planful problem-solving: 3
Seeking social support: 11
Self-controlling: 6
",54,2,3,3,4,3,4,11,6,625e621e56bbca771c2e63d836101d1638a3ee66b322e971051a17b022ba4ab2,alkkaxe1eq,0,198,0,10
